国家,字数,句数,平均每句字数,位置,气候,宗教,疆域
淫薄健国,86,7,12.28571429,89632.0,风寒,无记载,小
屈浪拿国,117,9,13.0,89733.5,风寒,式微,较小
达摩悉铁帝国,614,43,14.27906977,90099.0,风寒,式微,较大
尸弃尼国,107,7,15.28571429,90459.5,风寒,无记载,较小
商弥国,410,25,16.4,90718.0,风寒,无记载,较大
朅盘陁国,1048,65,16.12307692,91447.0,无记载,一般,较小
乌铩国,517,37,13.97297297,92229.5,和畅,一般,小
佉沙国,172,13,13.23076923,92574.0,和畅,繁荣,大
斫句迦国,310,20,15.5,92815.0,风寒,一般,小
瞿萨旦那国,3737,231,16.17748918,94838.5,和畅,繁荣,较大
